Year,Month,Lat,Lon,Individual count,Sex,Life stage,Identification verification status,Dataset name,Country,State/Province
2000,1,50.32233047,-4.766105175,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,1,54.102288,-4.779482,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2006,1,56.2507,-5.7648,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2004,1,52.8066,-4.5811,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Wales
2006,1,49.8453,-5.5582,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,1,54.086281,-4.761157,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2006,1,49.95842887,-5.215481999,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2012,1,50.604162,-3.414646,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,1,50.5387,-4.9395,15,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2009,1,54.086,-4.767,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2006,1,54.1835,-4.8669,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2012,1,50.414,-3.553,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,1,58.658681,-3.190107,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2006,1,50.038317,-5.646093,3,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,1,54.1861,-4.857,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2006,1,54.0477,-4.8003,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2012,1,50.392567,-3.423443,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,1,49.9507,-5.2021,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2013,1,56.3384274,-6.218347549,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2006,1,50.3154,-5.772,7,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2013,1,56.3384274,-6.218347549,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2006,1,53.3848,-2.9898,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,1,50.6887,-5.0395,15,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,1,50.2119,-4.6017,12,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,1,50.107,-5.4547,2,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,1,50.3099,-4.0916,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,1,57.0247,-6.4613,7,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2006,1,55.700405,-4.908081,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
1999,1,54.06548,-4.63744,7,,,Unconfirmed,Isle of Man historical wildlife records 1995 to 1999,United Kingdom,Isle of Man
2006,1,49.768256,-5.085449,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2007,1,57.340578,-6.513986,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2006,1,58.708681,-3.190107,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2004,1,57.053726,-6.536822,4,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2007,3,54.1426,-4.4444,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
1999,3,50.10181046,-5.091834545,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1998,3,50.2903,-4.5143,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2002,3,50.15,-4.233333333,5,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2009,3,54.14,-4.461,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2011,3,56.40512,-7.12537,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Scotland
2016,3,50.39822,-3.47386,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2016,3,52.13924,-4.6243,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Wales
1998,3,50.2889,-4.512,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2005,3,50.0315,-5.6761,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,3,50.0156,-5.6482,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1998,3,50.33067322,-4.517854214,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2007,3,54.14010833,-4.462083333,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,Isle of Man
2005,3,49.9787,-5.1247,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2011,3,50.1068,-5.54363,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2005,3,49.9887,-5.178,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2006,3,50.2248,-5.7888,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1991,3,49.95,-5.2,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1999,3,50.06721497,-5.746541977,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1999,3,50.06905365,-5.717335224,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
2011,3,50.036,-5.317,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,United Kingdom,England
1998,3,,,1,,,Unconfirmed,UK Basking Shark sightings from 1987 to 2016,,
